Lake_Name,Round ,date,JD,Edible_Chl,dent,cerio ,pulic,Bosmina,parv,ambig,diaph ,scaph ,alona,chaob ,ostr ,cal ,cyc ,overall_m_prev,N_ug,P_ug,Z_bottom,n_max,bfs,d_tcline,t_tcline, depth_Ezi,T_Ezi,d1mgL,mDO,mspc,mpH,mT,mchlv,mchla
Airline,1,8/21/09,233,1.55,"62,436.84","1,007.05","114,299.70",0,0,0,0,0,0,31,,,,0,249.97,5.34,12.43,54.06,0.09,6.35,21.35,4.25,27.7,12.43,7.09,"1,378.60",7.49,27.98,0.01,0.63
Airline,2,8/25/09,237,1.58,"118,327.89","2,517.61","275,678.80",0,0,0,0,0,0,19,,,,0,238.44,6.54,16.04,59.23,0.1,5.68,24.12,5.08,26.08,12.58,7.7,"1,391.00",7.59,26.31,0.01,0.53
Airline,4,9/8/09,251,1.82,"200,150.36","8,811.65","281,972.84",0,0,0,0,0,0,82,,,,,244.21,4.47,12,58.42,0.1,6.59,21.54,5.49,24.33,12,8.06,"1,406.00",7.53,24.67,0.01,0.62
Airline,5,9/15/09,258,1.61,"39,442.63","1,678.41","228,263.73",839.2,0,0,0,0,0,52,,,,0.07,244.21,4.85,12.07,52.41,0.09,6.61,22.18,6.01,23.84,12.07,8.3,"1,413.50",7.57,24.59,0.01,0.68
Airline,6,9/22/09,265,1.86,"178,750.64","7,552.84","154,833.30","1,258.81",0,0,0,0,0,33,,,,0,280.03,7.64,10.95,52.78,0.09,6.64,22.09,6.09,23.64,10.95,8.16,"1,414.29",0.83,23.96,0.01,0.81
Airline,7,9/29/09,272,3.01,"203,926.79","7,552.84","206,444.40",0,0,0,0,0,0,15,,,,0.01,290.61,5.2,10.98,44.42,0.08,7.57,19.21,6.27,22.02,10.98,7.85,"1,413.86",7.33,22.21,0.01,0.92
Airline,8,10/7/09,280,3.25,"35,246.60","25,176.15","106,998.62",0,0,0,0,0,0,24,,,,0.01,224.38,5.09,10.98,41.71,0.07,8.5,17.14,7.8,18.54,10.98,7.45,"1,385.13",7.28,19.16,0.01,0.93
Airline,9,10/13/09,286,,"115,810.27","18,882.11","33,987.80","5,035.23",0,0,0,0,0,2,,,,,,,12.06,30.64,0.05,8.68,16.62,8.28,17.22,12.06,7.61,"1,379.75",7.19,17.39,0.02,1.23
Airline,10,10/20/09,293,3.42,"332,325.13","12,588.07","67,975.60","15,105.69",0,0,0,0,0,1,,,,0,194.91,6.88,12.36,21.95,0.04,12.33,13.37,12.28,13.42,12.36,6.65,"1,773.85",6.87,14.86,0.01,1.07
Airline,11,10/27/09,300,3.27,"178,750.64","11,329.27","42,799.45","6,294.04",0,0,0,0,0,0,,,,0,200.8,10.62,11.84,19.27,0.03,10.63,14.28,11.84,13.58,11.84,6.99,"1,618.18",7.11,14.76,0.02,1.51
Airline,12,11/3/09,307,2.8,"420,441.64","5,035.23","25,176.15","5,035.23",0,0,0,0,0,2,,,,0,253.86,6.34,11.89,19.09,0.03,11.85,13.62,11.89,13.59,11.89,7.72,"1,563.09",7.03,14.32,0.01,0.98
Airline,13,11/10/09,314,2.95,"536,251.92",0,"5,035.23","2,517.61",0,0,0,0,0,2,,,,0,182.15,4.65,11.84,18.47,0.03,11.82,13.79,11.84,13.77,11.84,8.09,"1,574.91",7.11,13.87,0.01,1.13
Airline,14,11/18/09,322,3.3,"636,956.50",0,"12,588.07","7,552.84",0,0,0,0,0,1,,,,0,242.36,7.84,11.75,17.24,0.03,11.72,13.78,11.75,13.76,11.75,8.18,"1,576.45",7.5,12.8,0.01,1.01
Beaver Dam,0,8/11/09,223,,"146,860.85",0,0,0,0,0,0,0,0,30,,,,0,,,9.39,52.79,0.09,3.7,24.9,2.5,27.43,7.3,7.91,904.83,7.4,28.11,0.01,0.78
Beaver Dam,1,8/20/09,232,2.58,"370,089.35","1,258.81","42,799.45",0,0,0,0,0,0,31,,,,0.01,330.69,10.05,9.09,64.89,0.11,3.65,25.94,2.95,27.84,6.75,6.76,922.15,7.26,28.38,0.01,0.74
Beaver Dam,2,8/27/09,239,2.97,"382,677.42","1,258.81","66,716.79",0,0,0,0,0,0,61,,,,0,399.88,23.45,9.04,61.08,0.11,4.58,23.41,0.28,28.42,6.88,8.86,965.05,7.54,27.95,0.01,0.74
Beaver Dam,3,9/3/09,246,2.57,"261,831.92",0,"147,280.46",0,0,0,0,0,0,150,,,,0,296.1,8.23,8.99,54.43,0.1,4.68,23.09,2.28,24.94,7.13,8.13,"1,005.67",7.29,25.24,0.01,0.73
Beaver Dam,4,9/10/09,253,2.41,"203,926.79","1,678.41","31,889.79",0,0,0,0,0,0,77,,,,0,244.21,6.77,7.91,50.93,0.09,5.68,20.75,1.48,25.32,7.03,8.61,"1,008.00",7.42,25.67,0.01,0.6
Beaver Dam,5,9/17/09,260,3.12,"329,807.52","1,258.81","37,764.22",0,0,0,0,0,0,170,,,,0,348.83,9.72,9.01,48.21,0.08,5.72,20.64,4.32,24.07,7.17,8.09,"1,080.75",7.19,24.38,0.08,8.7
Beaver Dam,6,9/24/09,267,3.89,"268,545.56","2,517.61","11,748.87",0,0,0,0,0,0,,,,,0,179.46,29.03,9.11,52.95,0.09,6.41,18.74,5.06,23.14,6.91,7.89,"1,190.80",7.05,23.61,0.06,6.59
Beaver Dam,7,10/1/09,274,4.85,"307,988.19","5,035.23","1,678.41",0,0,0,0,0,0,28,,,,0.02,396.47,11.29,9.01,51.99,0.09,6.57,18.22,5.97,20.15,5.82,6.09,"1,374.17",6.72,20.06,0.13,14.01
Beaver Dam,8,10/8/09,281,3.63,"438,064.95","3,776.42","5,035.23",0,0,0,0,0,0,60,,,,0.04,332.95,14.42,7.02,55.39,0.1,7.01,16.92,6.21,19.67,6.46,6.98,"1,247.00",6.91,17.64,0.04,3.76
Beaver Dam,9,10/15/09,288,5.66,"284,490.45","7,552.84","2,517.61","5,035.23",0,0,0,0,0,55,,,,0.01,354.08,15.25,6.79,5.96,0.01,1.5,14.57,6.79,17.6,6.6,7.52,"1,210.71",6.9,14.98,0.07,6.75
Beaver Dam,10,10/16/09,289,11.17,"147,909.86","3,147.02",0,"11,329.27",0,0,0,0,"1,258.81",41,,,,0.02,489.68,12.76,,,,,,,,,,,,,,
